Player,Team,Number,Position,Height,Weight,Last Attended,Country
Alaa Abdelnaby,POR,30.0,F,6-10,240,Duke,USA
Zaid Abdul-Aziz,HOU,54.0,C,6-9,235,Iowa State,USA
Kareem Abdul-Jabbar,LAL,33.0,C,7-2,225,UCLA,USA
Mahmoud Abdul-Rauf,DEN,1.0,G,6-1,162,Louisiana State,USA
Tariq Abdul-Wahad,SAC,9.0,F-G,6-6,235,San Jose State,France
Shareef Abdur-Rahim,MEM,3.0,F,6-9,245,California,USA
Tom Abernethy,GSW,5.0,F,6-7,220,Indiana,USA
Forest Able,PHI,6.0,G,6-3,180,Western Kentucky,USA
John Abramovic,PIT,,F,6-3,195,Salem,USA
Alex Abrines,OKC,8.0,G,6-6,190,FC Barcelona,Spain
Precious Achiuwa,TOR,5.0,F,6-8,225,Memphis,Nigeria
Alex Acker,LAC,3.0,G,6-5,185,Pepperdine,USA
Donald Ackerman,NYK,,G,6-0,183,Long Island-Brooklyn,USA
Mark Acres,ORL,42.0,C,6-11,220,Oral Roberts,USA
Charles Acton,HOU,24.0,F,6-6,210,Hillsdale,USA
Quincy Acy,SAC,13.0,F,6-7,240,Baylor,USA
Alvan Adams,PHX,33.0,C,6-9,210,Oklahoma,USA
Don Adams,DET,10.0,F,6-7,210,Northwestern,USA
Hassan Adams,BKN,8.0,F,6-4,220,Arizona,USA
Jaylen Adams,ATL,10.0,G,6-0,225,St. Bonaventure,USA
Jordan Adams,MEM,3.0,G,6-5,209,UCLA,USA
Michael Adams,DEN,23.0,G,5-10,165,Boston College,USA
Steven Adams,MEM,4.0,C,6-11,265,Pittsburgh,New Zealand
Rafael Addison,BKN,7.0,F,6-8,241,Syracuse,USA
Bam Adebayo,MIA,13.0,C-F,6-9,255,Kentucky,USA
Deng Adel,CLE,32.0,F,6-7,200,Louisville,South Sudan
Rick Adelman,POR,5.0,G,6-2,175,Loyola-Marymount,USA
Jeff Adrien,CHA,12.0,F,6-7,245,Connecticut,USA
Arron Afflalo,DEN,4.0,G,6-5,210,UCLA,USA
Ochai Agbaji,UTA,30.0,G,6-5,215,Kansas,USA
Maurice Ager,DAL,13.0,F-G,6-5,202,Michigan State,USA
Mark Aguirre,DAL,7.0,F,6-6,232,DePaul,USA
Blake Ahearn,MIA,2.0,G,6-2,190,Missouri State,USA
Danny Ainge,BOS,22.0,G,6-5,175,Brigham Young,USA
Alexis Ajinca,NOP,42.0,C,7-2,248,Hyeres-Toulon,France
Henry Akin,NYK,10.0,C,6-10,225,Morehead State,USA
Josh Akognon,DAL,10.0,G,5-11,185,California State-Fullerton,USA
De VaughnAkoon-Purcell,DEN,44.0,G,6-5,201,Illinois State,Trinidad and Tobago
